甲数除以乙数的商是1.5，如果甲数增加20，则甲数是乙的4倍．原来甲数=．	20/(4-1.5)*1.5=12.0	{甲数, 乙数, 商, 1.5, 增加, 20, 4倍, 原来甲数}
重庆车站与成都车站的路程760千米．一辆客车从重庆车站出发往成都车站开去，每小时行80千米；当客车已行160千米时，一辆小车从成都车站出发向重庆车站开去，每小时行120千米．几小时后两车相遇？	(760-160)/(80+120)=3.0	{重庆, 车站, 成都, 车站, 路程, 760千米, 客车, 出发, 开去, 每小时, 80千米, 行160千米, 小车, 相遇}
一辆汽车到某一站时，有7名乘客下车，13名上车，这时车上有42名乘客．到此站前车上有多少名乘客？	42-13+7=36.0	{汽车, 到, 某一站, 7名乘客, 下车, 13名, 上车, 车上, 42名, 乘客, 到此站前, 车上}
4、5、六年级各有3个班，要是108名同学去敬老院打扫卫生，平均每班要选多少名同学？	108/(3*3)=12.0	{4、5、6年级, 3个班, 108名同学, 敬老院, 打扫卫生, 平均, 每班, 选}
某工厂要生产一批玩具，计划每天生产40台，25太完成．实际提前5天完成，实际每天生产多少台？	(40*25)/(25-5)=50.0	{工厂, 生产, 玩具, 计划, 每天, 40台, 25天, 完成率, 提前, 5天, 实际, 每天生产, 台}
同学们要栽84棵树，已经栽了3行，每行15棵，还剩多少棵没栽？	84-3*15=39.0	{同学们, 栽, 84, 棵树, 已经, 栽了, 3行, 每行, 15棵, 还剩, 多少, 棵, 没, 栽}
修路队要修一段360米的路，第一周修了全长的(2/9)，第二周修了全长的(1/4)．两周一共修路多少米？	360*((2/9)+(1/4))=170.0	{修路队, 360米, 路, 第一周, 修, 全长, (2/9), 第二周, (1/4), 两周, 一共, 修路}
在一个罐子内有3种不同颜色的珠子，其中(2/5)的珠子是红色的、(1/3)的珠子是绿色的、其余的12颗珠子是黄色的．请问这个罐子内共有多少颗珠子．	12/(1-(2/5)-(1/3))=45.0	{罐子，3种，不同颜色，珠子，2/5，红色，1/3，绿色，12颗，黄色，共，多少颗}
小芳骑自行车每小时行12千米，是一辆摩托车每小时行的(3/4)．一辆摩托车每小时行多少千米？	12/(3/4)=16.0	{小芳，骑自行车，每小时，行，12千米，摩托车，3/4}
一种彩色电视机，现在每台2150元，比原来每台降价350元，降价百分之几？	350/(2150+350)=0.14	{彩色电视机, 2150元, 降价, 350元, 百分之几}
有20吨货物，如果每次运走它的25%，则多少次可以运完．	1/25%=4.0	{20吨, 货物, 运走, 25%, 多少次, 运完}
小明妈妈从超市买回面粉和大米各一袋，每袋5千克，共用23.5元，每千克面粉1.9元，每千克大米多少元？	(23.5-5*1.9)/5=2.8	{小明妈妈, 超市, 面粉, 大米, 一袋, 5千克, 23.5元, 每千克, 1.9元}
已知X=5，Y=8，那么4.8X-3Y=．	4.8*5-3*8=0.0	{已知, X, 5, Y, 8, 4.8X, -3Y, =}
两棵大树相距20米，要在这两棵大树之间每隔2米栽一棵月季花，一共要载多少棵月季花．	20/2-1=9.0	{两棵大树, 相距, 20米, 每隔, 2米, 栽, 月季花, 一共, 载, 多少棵}
甲、乙两车同时从相距420千米的A、B两地相对开出，5小时后甲车行了全程的(3/4)，乙车行了全程的(2/3)，这时两车相距多少千米？	420*((3/4)+(2/3)-1)=175.0	{甲，乙，两车，相距，420千米，A，B，两地，相对，开出，5小时，全程，3/4，2/3，相距}
笑笑阅读一本280页的故事书，第一天读了全书的(1/4)，第二天读了全书的(1/7)，还剩下多少页没有读完？	280*(1-(1/4)-(1/7))=170.0	{笑笑，阅读，280页，故事书，第一天，全书的(1/4)，第二天，全书的(1/7)，还剩下，多少页，没有读完}
多少吨的45%是34吨．	34/45%=75.55555555555556	{多少吨, 45%, 是, 34吨}
一个工厂已经加工了一批零件的80%，还剩24个．这批零件要加工多少个？	24/(1-80%)=120.0	{工厂, 加工, 零件, 80%, 剩余, 24个, 加工个数}
一个数的(4/5)是(16/7)，这个数=．	(16/7)/(4/5)=2.857142857142857	{一个数，(4/5)，是，(16/7)，这个数}
妈妈将5000元人民币存入银行，定期一年，年利率2.25%，利息税5%．到期后，妈妈可从银行取回本金和利息共多少元？	5000+5000*2.25%*1*(1-5%)=5106.875	{妈妈, 5000元, 人民币, 存入, 银行, 定期, 一年, 年利率, 2.25%, 利息税, 5%, 到期, 取回, 本金, 利息}
菜场用相同的卡车运蔬菜．先用4辆车共运走了640箱，再用3辆车就可全部运完．菜场一共运了多少箱蔬菜？	640/4*(4+3)=1120.0	{菜场, 相同, 卡车, 运蔬菜, 4辆车, 共运走, 640箱, 3辆车, 全部运完, 一共运了, 箱, 蔬菜}
一个数的(3/5)比它的40%多120，这个数=？	120/((3/5)-40%)=600.0	{一个数, (3/5), 40%, 多, 120, 这个数}
在一道有余数的除法中，除数和商都是9，余数是7，被除数=．	9*9+7=88.0	{有余数, 除法, 除数, 商, 9, 余数, 7, 被除数}
一家超市平均每月的营业额为150000元，按10%的营业额缴纳营业税，每月应缴纳营业税多少元．	150000*10%=15000.0	{超市, 平均, 每月, 营业额, 150000元, 10%, 营业税, 缴纳, 应缴纳, 元}
一个圆柱的底面直径是8厘米，它的侧面展开正好是一个正方形，这个圆柱的高=多少厘米．	3.14*8=25.12	{圆柱, 底面直径, 8厘米, 侧面展开, 正方形, 高}
宝丽电视机厂上半年已生产了150000台电视机，正好完成全年计划的(3/5)，全年计划生产多少台电视机？	150000/(3/5)=250000.0	{宝丽电视机厂, 上半年, 150000台, 电视机, 全年计划, 3/5}
“5一”节假期间，王老师带领他的40名学生看了一场精彩的球幕立体电影，每张电影票35元，一共要花多少钱？	35*(40+1)=1435.0	{“5一”节假期间,王老师,40名学生,球幕立体电影,每张电影票35元,一共}
从9000里面减去多少个240，得1800．	(9000-1800)/240=30.0	{9000, 减去, 多少个, 240, 得, 1800}
幼儿园买了48个白皮球，24个花皮球，平均分给9个班，每班分得几个？	(48+24)/9=8.0	{幼儿园, 48个, 白皮球, 24个, 花皮球, 平均分, 9个班, 每班, 分得几个}
小莉看一本趣味数学故事书，如果每天看36页，10天看完；如果每天多看4页，可以提前几天看完？	10-36*10/(36+4)=1.0	{小莉, 趣味数学故事书, 每天, 36页, 10天, 看完, 每天多看, 4页, 提前, 几天}
一种电视降价200元后，现在售价1800元，降价百分之几？	200/(200+1800)=0.1	{电视, 降价, 200元, 售价, 1800元, 百分之几}
把0.025扩大100倍后=．	0.025*100=2.5	{把, 0.025, 扩大, 100倍, 后, =}
盒子里有同样的绿球和黄球，每次取出6个绿球和4个黄球，去了若干次后，盒子里黄球比绿球多36个．一共取了多少次？	36/(6-4)=18.0	{盒子里，同样的，绿球，黄球，每次，取出，6个，绿球，4个，黄球，若干次，黄球，比，绿球，多，36个，一共，取了，多少次}
比0.7大3.2的数=．	0.7+3.2=3.9	{比, 0.7, 大, 3.2, 的, 数}
A是B的(2/3)，B是C的(1/5)，如果C是45，那么A=．	45*(1/5)*(2/3)=6.0	{A, B, 2/3, C, 1/5, 45}
一辆汽车0.6小时行驶30.6千米，用同样的速度从甲地开往乙地，行驶了5.32小时，甲乙两地相距多少千米？	30.6/0.6*5.32=271.32	{汽车, 0.6小时, 行驶, 30.6千米, 同样速度, 甲地, 乙地, 5.32小时, 相距, 千米}
96里有多少个6．	96/6=16.0	{96, 6}
一双男式皮鞋原售价是250元，现在售价是170元，降价百分之几？	(250-170)/250=0.32	{男式皮鞋, 原售价, 250元, 现售价, 170元, 降价, 百分之几}
一辆汽车从甲地开往乙地，去时以每小时72千米的速度行驶了4小时，返回时行驶了3小时，这辆汽车返回时的速度=？	72*4/3=96.0	{汽车, 甲地, 乙地, 去时, 每小时, 72千米, 速度, 行驶, 4小时, 返回时, 3小时, 返回时速度}
校园里有杨树30棵，柳树是杨树的(5/6)，槐树是柳树的(3/5)．问槐树多少棵？	30*(5/6)*(3/5)=15.0	{校园, 杨树, 30棵, 柳树, 5/6, 槐树, 3/5}
圆湖周长108米，在湖边每隔12米种植一棵柳树，再在两棵柳树之问等距离地种3棵桃树，这样可种柳树和桃树共多少棵．	108/12+3*(108/12)=36.0	{圆湖, 周长, 108米, 湖边, 每隔, 12米, 种植, 柳树, 两棵, 等距离, 3棵, 桃树, 共, 多少棵}
已知：苹果4千克6元，桔子5千克11元，王叔叔买16千克苹果和20千克桔子，共应付多少钱？	6/4*16+11/5*20=68.0	{苹果，4千克，6元，桔子，5千克，11元，王叔叔，买，16千克，20千克，共应付，多少钱}
一桶油漆重8千克，用去(5/6)，还剩多少千克？	8*(1-(5/6))=1.3333333333333333	{一桶油漆, 8千克, 用去, 5/6, 还剩, 千克}
蔬菜店运进16筐西红柿，每筐重28千克，运进的西红柿共多少千克？	28*16=448.0	{蔬菜店, 运进, 16筐, 西红柿, 每筐, 重, 28千克, 共, 多少千克}
(11/15)里有多少个(1/30)．	(11/15)/(1/30)=22.0	{11/15, 多少个, 1/30}
果园里有桃树385棵，苹果树的棵树是桃树的4倍，桃树和苹果树一共有多少棵．	385*4+385=1925.0	{果园, 桃树, 385棵, 苹果树, 4倍, 一共}
张阿姨经营着一个体育用品商店．一次，她购进了一批皮球，进价是每个6元，打算以每个8元的价格卖出．实际上她在原定卖价的基础上打0.9卖出，当这批皮球全部卖出后，张阿姨共获利润216元．问：张阿姨买进的这批皮球一共有多少个？	216/(8*0.9-6)=180.0	{张阿姨, 体育用品商店, 皮球, 进价, 6元, 8元, 价格, 0.9, 利润, 216元, 买进, 这批, 共获}
班级买来36m长的彩带，用它的(1/6)扎蝴蝶结，它的(1/3)编中国结，求还剩多长的彩带？	36-36*(1/6)-36*(1/3)=18.0	{班级、36m、彩带、(1/6)、扎、蝴蝶结、(1/3)、编、中国结、剩}
一辆汽车从甲地开往乙地，14小时行了全程的(7/9)，还需几小时才能到达乙地？	(1-(7/9))/((7/9)/14)=4.0	{汽车, 甲地, 乙地, 14小时, 全程, 7/9, 还需, 小时, 到达}
小红有邮票25张，小军有45张，小红的邮票是小军的几分之几？	25/45=0.5555555555555556	{小红, 邮票, 25张, 小军, 45张, 小红的邮票, 小军的, 几分之几}
小明、小英、小兰、小强4位同学都有一些课外书，小明的书本数是小英的6倍，小英的书本数是小兰的3倍，小强的书本数是小兰的9倍．小明的书本数是小强的多少倍．	6*3/9=2.0	{小明、小英、小兰、小强、课外书、6倍、3倍、9倍、多少倍}
两列火车从相距1260千米的两站同时开出相向而行，4.5小时后两车相遇．慢车每小时行120千米，快车每小时行多少千米？	1260/4.5-120=160.0	{两列火车, 相距, 1260千米, 相向而行, 4.5小时, 相遇, 慢车, 每小时, 120千米, 快车, 行多少千米}
学校买了一批图书，其中35%分给低年级，其佘的按7：6分给中、高年级，已知低年级比高年级多20本，学校一共买图书多少本？	20/(35%-(1-35%)*((6)/(7+6)))=400.0	{学校, 买, 图书, 35%, 低年级, 佘的, 7:6, 中年级, 高年级, 20本, 一共}
一本故事书有300页，李强看了8天后，还剩60页，他平均每天看几页？	(300-60)/8=30.0	{故事书, 300页, 李强, 8天, 还剩, 60页, 平均, 每天, 看几页}
大米每千克1.5元，小明的妈妈买了35千克，她付给营业员60元，应找回多少钱？	60-(1.5*35)=7.5	{大米，每千克，1.5元，小明的妈妈，买了，35千克，付给，营业员，60元，找回}
一根铁丝，第一剪去(3/8)，第二次剪去与第一次同样多，还剩几分之几？	1-(3/8)-(3/8)=0.25	{铁丝，剪去，3/8，第二次，同样多，还剩，几分之几}
青岛到北京的铁路长约900千米，动车2小时行驶了全程的(1/4)．照这样计算，乘坐动车从青岛到北京大约需要几小时？	2/(1/4)=8.0	{青岛, 北京, 铁路, 900千米, 动车, 2小时, 全程, (1/4), 计算, 需要, 小时}
果园里种了72棵桃树，是梨树棵数的8倍，种的梨树和桃树一共有多少棵？	72/8+72=81.0	{果园, 72棵, 桃树, 梨树, 8倍, 梨树, 桃树, 一共}
某数减去30，然后扩大5倍，再加上20等于270，这个数=．	(270-20)/5+30=80.0	{某数, 减去, 30, 扩大, 5倍, 再加上, 20, 等于, 270, 这个数}
将一根长12米的木条锯成了8小段，每锯下一段要用3分钟，全部锯完要用多少分钟．	3*(8-1)=21.0	{长, 12米, 木条, 锯, 8小段, 每, 3分钟, 全部锯完, 要用, 多少分钟}
小华用100元钱买了3个书包，找回16元，每个书包多少钱？	(100-16)/3=28.0	{小华, 100元, 3个, 书包, 找回, 16元, 每个多少钱}
一段公路，第一天修了(2/5)，第二天修了(1/4)，还剩(5/8)千米，这段公路长多少千米？	(5/8)/(1-(2/5)-(1/4))=1.7857142857142856	{公路，修，第一天，(2/5)，第二天，(1/4)，剩，(5/8)，千米，长}
一块正方形地的面积是20平方米，整修后面积增加了(1/10)．这时这块正方形地的面积=多少平方米？	20*(1+(1/10))=22.0	{正方形地, 面积, 20平方米, 整修, 增加, (1/10), 平方米}
把一根底面直径是2分米的圆型钢材截成两段，表面积增加了多少平方分米．	3.14*(2/2)^2*2=6.28	{底面直径, 2分米, 圆型钢材, 截成两段, 表面积, 增加, 平方分米}
多少除以2.7的商是0.08．	2.7*0.08=0.216	{多少, 除以, 2.7, 商, 是, 0.08}
小胖看见闪电后，过了5.2秒才听到雷声．已知雷声在空中传播的速度是0.33千米/秒．闪电的地方离小胖有多远？	0.33*5.2=1.716	{小胖, 闪电, 过了, 5.2秒, 听到, 雷声, 传播, 速度, 0.33千米/秒, 离, 多远}
一只大钟，分钟长60厘米，2个小时后，分针的尖端走了多少厘米？	3.14*60*2*2=753.6	{大钟，分钟，60厘米，2个小时，分针，尖端，走了，厘米}
一个数减去它的20%后，等于120的(1/3)，求这个数．	120*(1/3)/(1-20%)=50.0	{数, 减去, 20%, 等于, 120, (1/3), 求这个数}
商场运来610千克苹果，上午卖出152千克，还剩多少千克？	610-152=458.0	{商场, 运来, 610千克, 苹果, 上午, 卖出, 152千克, 还剩}
有一块平行四边形的花圃，底长50米，高长30米．每平方米产鲜花60枝，这块花圃共可产鲜花多少枝？	50*30*60=90000.0	{平行四边形, 花圃, 底长, 50米, 高长, 30米, 每平方米, 产鲜花, 60枝}
一段木料锯成3段要6分，如果要锯成5段，需要多少分．	6/(3-1)*(5-1)=12.0	{木料, 锯, 3段, 6分, 5段}
油菜籽的出油率是42%，一个榨油厂榨出菜籽油2100千克，需要多少千克的油菜籽？	2100/42%=5000.0	{油菜籽, 出油率, 42%, 榨油厂, 菜籽油, 2100千克, 需要多少, 千克, 油菜籽}
某小区一块1200平方米的空地，种花的面积是这块地的(2/5)，种树的面积是种花面积的(5/6)，种树的面积=多少平方米？	1200*((2/5)*(5/6))=400.0	{小区, 1200平方米, 空地, 种花, 面积, 2/5, 种树, 5/6, 多少平方米}
一部手机打0.85出售，便宜了180元．这部手机打折前的售价为多少元？	180/(1-0.85)=1200.0	{手机, 打0.85, 便宜, 180元, 售价, 打折前}
家具厂上个月生产单人木床1500张，双人木床1850张，铁床2500张，铁床比木床少生产多少张？	1500+1850-2500=850.0	{家具厂, 上个月, 生产, 单人木床, 1500张, 双人木床, 1850张, 铁床, 2500张, 比木床, 少生产, 张}
甲、乙两人从相距120米的两地相同方向行驶，甲车每分行58米，乙车每分行34米，多少分钟后甲追上乙？	120/(58-34)=5.0	{甲, 乙, 相距120米, 相同方向, 行驶, 甲车, 58米, 乙车, 34米, 追上}
学校购买每张单价是140元的课桌，买了30张还多480元．如果用这笔钱买椅子，可以买40把．每把椅子的单价=多少元？	(140*30+480)/40=117.0	{学校, 购买, 课桌, 单价, 140元, 30张, 多, 480元, 椅子, 40把, 单价}
“5一”期间，新华书店所有少儿图书打0.8出售．小华买了一套图画书，花了72元．这套图画书比原价便宜了多少元？	72/0.8-72=18.0	{“5一”, 新华书店, 少儿图书, 打0.8, 出售, 小华, 一套图画书, 花了72元, 比原价, 便宜}
小华看一本书，每天看20页，6天后还剩全书的40%，这本书有多少页？	20*6/(1-40%)=200.0	{小华, 看一本书, 每天看20页, 6天后, 剩全书的40%, 这本书, 有多少页}
某班有37人去旅行，戴帽子的有20人，穿短裤的有28人，问其中最多有几人同时戴帽子及穿短裤的？	20+28-37=11.0	{某班, 37人, 旅行, 戴帽子, 20人, 穿短裤, 28人, 最多, 同时, 戴帽子, 穿短裤}
